time,vertex,state,state_id,buffer_occupation,production_step
15,27,starved,0,0.0,4
16,0,working,2,0.0,0
16,9,working,2,0.0,0
16,12,working,2,0.0,0
16,13,working,2,0.0,0
16,24,working,2,0.0,0
16,28,working,2,0.0,0
16,1,working,2,0.6666666666666666,1
16,8,working,2,0.6666666666666666,1
16,10,working,2,0.6666666666666666,1
16,16,working,2,0.6666666666666666,1
16,21,working,2,0.6666666666666666,1
16,26,working,2,0.6666666666666666,1
16,2,working,2,0.3333333333333333,2
16,7,working,2,0.3333333333333333,2
16,11,working,2,0.0,2
16,17,working,2,0.3333333333333333,2
16,22,working,2,0.0,2
16,25,blocked,1,0.0,2
16,3,working,2,0.6666666666666666,3
16,15,working,2,0.6666666666666666,3
16,23,working,2,0.6666666666666666,3
16,29,working,2,0.6666666666666666,3
16,4,working,2,0.0,4
16,5,working,2,0.0,4
16,6,working,2,0.0,4
16,14,working,2,0.0,4
16,18,working,2,0.0,4
16,19,starved,0,0.0,4
16,20,starved,0,0.0,4
16,27,starved,0,0.0,4
17,0,working,2,0.0,0
17,9,working,2,0.0,0
17,12,working,2,0.0,0
17,13,working,2,0.0,0
17,24,working,2,0.0,0
17,28,working,2,0.0,0
17,1,working,2,0.6666666666666666,1
17,8,working,2,0.6666666666666666,1
17,10,working,2,0.6666666666666666,1
17,16,working,2,0.6666666666666666,1
17,21,working,2,0.6666666666666666,1
17,26,working,2,0.6666666666666666,1
17,2,working,2,0.3333333333333333,2
17,7,working,2,0.3333333333333333,2
17,11,working,2,0.3333333333333333,2
17,17,working,2,0.3333333333333333,2
17,22,blocked,1,0.0,2
17,25,blocked,1,0.0,2
17,3,working,2,0.6666666666666666,3
17,15,working,2,0.6666666666666666,3
17,23,working,2,0.6666666666666666,3
17,29,working,2,0.6666666666666666,3
17,4,working,2,0.0,4
17,5,working,2,0.0,4
17,6,working,2,0.0,4
17,14,working,2,0.0,4
17,18,starved,0,0.0,4
17,19,starved,0,0.0,4
17,20,starved,0,0.0,4
17,27,starved,0,0.0,4
18,0,working,2,0.0,0
18,9,working,2,0.0,0
18,12,working,2,0.0,0
18,13,working,2,0.0,0
18,24,blocked,1,0.0,0
18,28,blocked,1,0.0,0
18,1,working,2,0.6666666666666666,1
18,8,working,2,0.6666666666666666,1
18,10,working,2,0.6666666666666666,1
18,16,working,2,0.6666666666666666,1
18,21,working,2,0.6666666666666666,1
18,26,working,2,0.6666666666666666,1
18,2,working,2,0.3333333333333333,2
18,7,working,2,0.3333333333333333,2
18,11,working,2,0.3333333333333333,2
18,17,working,2,0.3333333333333333,2
18,22,working,2,0.3333333333333333,2
18,25,blocked,1,0.0,2
18,3,working,2,0.6666666666666666,3
18,15,working,2,0.6666666666666666,3
18,23,working,2,0.6666666666666666,3
18,29,working,2,0.6666666666666666,3
18,4,working,2,0.0,4
18,5,working,2,0.0,4
18,6,working,2,0.0,4
18,14,working,2,0.0,4
18,18,starved,0,0.0,4
18,19,starved,0,0.0,4
18,20,starved,0,0.0,4
18,27,starved,0,0.0,4
19,0,working,2,0.0,0
19,9,working,2,0.0,0
19,12,working,2,0.0,0
19,13,working,2,0.0,0
19,24,working,2,0.0,0
19,28,blocked,1,0.0,0
19,1,working,2,0.6666666666666666,1
19,8,working,2,0.6666666666666666,1
19,10,working,2,0.6666666666666666,1
19,16,working,2,0.6666666666666666,1
19,21,working,2,0.6666666666666666,1
19,26,working,2,0.6666666666666666,1
19,2,working,2,0.6666666666666666,2
19,7,working,2,0.3333333333333333,2
19,11,working,2,0.3333333333333333,2
19,17,working,2,0.3333333333333333,2
19,22,working,2,0.3333333333333333,2
19,25,blocked,1,0.0,2
19,3,working,2,0.6666666666666666,3
19,15,working,2,0.6666666666666666,3
19,23,working,2,0.6666666666666666,3
19,29,working,2,0.6666666666666666,3
19,4,working,2,0.0,4
19,5,working,2,0.0,4
19,6,working,2,0.0,4
19,14,starved,0,0.0,4
19,18,starved,0,0.0,4
19,19,starved,0,0.0,4
19,20,starved,0,0.0,4
19,27,starved,0,0.0,4
20,0,working,2,0.0,0
20,9,working,2,0.0,0
20,12,working,2,0.0,0
20,13,working,2,0.0,0
20,24,working,2,0.0,0
20,28,working,2,0.0,0
20,1,working,2,0.6666666666666666,1
20,8,working,2,0.6666666666666666,1
20,10,working,2,0.6666666666666666,1
20,16,working,2,0.6666666666666666,1
20,21,working,2,0.3333333333333333,1
20,26,working,2,0.3333333333333333,1
20,2,working,2,0.6666666666666666,2
20,7,working,2,0.6666666666666666,2
20,11,working,2,0.6666666666666666,2
20,17,blocked,1,0.3333333333333333,2
20,22,blocked,1,0.3333333333333333,2
20,25,blocked,1,0.0,2
