case_id,activity_id,time_stamp,time_stamp_out,product_id
20,21,2023-09-24 12:04:35,2023-09-24 12:42:35,20
20,31,2023-09-24 12:42:35,2023-09-24 13:12:35,20
20,24,2023-09-24 13:12:35,2023-09-24 13:20:35,20
21,37,2023-09-24 09:47:35,2023-09-24 09:58:35,21
21,1,2023-09-24 09:58:35,2023-09-24 10:39:35,21
21,8,2023-09-24 10:39:35,2023-09-24 10:50:35,21
21,20,2023-09-24 10:50:35,2023-09-24 11:18:35,21
21,4,2023-09-24 11:18:35,2023-09-24 11:32:35,21
21,5,2023-09-24 11:32:35,2023-09-24 12:00:35,21
21,31,2023-09-24 12:00:35,2023-09-24 12:25:35,21
21,24,2023-09-24 12:25:35,2023-09-24 12:30:35,21
22,11,2023-09-24 09:47:35,2023-09-24 10:03:35,22
22,1,2023-09-24 10:03:35,2023-09-24 11:23:35,22
22,32,2023-09-24 11:23:35,2023-09-24 11:40:35,22
22,20,2023-09-24 11:40:35,2023-09-24 12:11:35,22
22,29,2023-09-24 12:11:35,2023-09-24 12:28:35,22
22,25,2023-09-24 12:28:35,2023-09-24 12:52:35,22
22,6,2023-09-24 12:52:35,2023-09-24 13:39:35,22
22,24,2023-09-24 13:39:35,2023-09-24 13:44:35,22
23,0,2023-09-24 09:48:35,2023-09-24 10:48:35,23
23,27,2023-09-24 10:48:35,2023-09-24 11:44:35,23
23,2,2023-09-24 11:44:35,2023-09-24 12:05:35,23
23,26,2023-09-24 12:05:35,2023-09-24 12:54:35,23
23,4,2023-09-24 12:54:35,2023-09-24 13:09:35,23
23,25,2023-09-24 13:09:35,2023-09-24 13:44:35,23
23,31,2023-09-24 13:44:35,2023-09-24 14:07:35,23
23,7,2023-09-24 14:07:35,2023-09-24 14:18:35,23
24,36,2023-09-24 09:49:35,2023-09-24 13:13:35,24
24,14,2023-09-24 13:13:35,2023-09-24 15:13:35,24
24,2,2023-09-24 15:13:35,2023-09-24 16:09:35,24
24,34,2023-09-24 16:09:35,2023-09-24 16:20:35,24
24,4,2023-09-24 16:20:35,2023-09-24 16:47:35,24
24,13,2023-09-24 16:47:35,2023-09-24 17:20:35,24
24,10,2023-09-24 17:20:35,2023-09-24 17:43:35,24
24,24,2023-09-24 17:43:35,2023-09-24 17:48:35,24
25,37,2023-09-24 09:51:35,2023-09-24 10:02:35,25
25,27,2023-09-24 10:02:35,2023-09-24 10:41:35,25
25,32,2023-09-24 10:41:35,2023-09-24 10:58:35,25
25,22,2023-09-24 10:58:35,2023-09-24 11:04:35,25
25,4,2023-09-24 11:04:35,2023-09-24 11:24:35,25
25,13,2023-09-24 11:24:35,2023-09-24 11:51:35,25
25,6,2023-09-24 11:51:35,2023-09-24 12:31:35,25
25,24,2023-09-24 12:31:35,2023-09-24 12:41:35,25
26,11,2023-09-24 09:54:35,2023-09-24 10:08:35,26
